代码,名称,开盘,最高,最低,收盘,昨收,涨跌幅,成交额
300751,迈为股份,240.0,247.8,221.01,222.98,231.1,-3.51,3104188401.0
300757,罗博特科,520.01,525.33,501.88,506.05,518.5,-2.4,2680364517.0
300760,迈瑞医疗,157.77,162.9,157.6,161.11,158.01,1.96,2035785400.0
300857,协创数据,261.85,276.0,253.91,261.0,258.0,1.16,10386046082.0
300999,金龙鱼,27.52,27.75,27.42,27.54,27.58,-0.15,167609506.0
301165,锐捷网络,98.0,98.95,92.5,93.18,98.98,-5.86,988375841.0
301200,大族数控,188.27,190.8,183.82,185.1,188.26,-1.68,644700316.0
301217,铜冠铜箔,53.99,61.57,52.34,59.15,51.31,15.28,3812297649.0
301308,江波龙,399.99,411.02,381.5,381.7,393.46,-2.99,10438514408.0
301377,鼎泰高科,228.5,230.67,220.81,223.0,229.16,-2.69,760852286.0
301511,德福科技,67.02,70.79,66.3,67.69,67.5,0.28,3240900964.0
301526,国际复材,15.0,16.8,14.54,15.92,15.43,3.18,4378960721.0
301666,大普微-UW,238.01,258.2,234.5,252.81,239.71,5.46,2217649387.0
302132,中航成飞,67.41,67.84,66.45,66.78,68.01,-1.81,331172922.0
589130,科创芯片ETF易方达,1.151,1.175,1.135,1.144,1.162,-1.55,74129099
600000,浦发银行,9.34,9.38,9.25,9.37,9.36,0.11,554217503.0
600010,包钢股份,2.69,2.77,2.66,2.74,2.7,1.48,2061234036.0
600011,华能国际,6.95,6.96,6.84,6.91,6.95,-0.58,751260582.0
600015,华夏银行,7.05,7.2,7.05,7.19,7.07,1.7,489289747.0
600016,民生银行,3.74,3.75,3.72,3.73,3.74,-0.27,414985007.0
600018,上港集团,4.87,4.9,4.86,4.9,4.87,0.62,135116095.0
600019,宝钢股份,6.31,6.39,6.28,6.37,6.29,1.27,513228476.0
600023,浙能电力,5.66,5.91,5.6,5.89,5.78,1.9,803439280.0
600025,华能水电,9.58,9.71,9.51,9.67,9.58,0.94,243984021.0
600026,中远海能,21.66,21.7,20.6,21.05,21.5,-2.09,1529598084.0
600028,中国石化,5.34,5.38,5.27,5.35,5.34,0.19,1826108634.0
600029,南方航空,5.48,5.51,5.41,5.44,5.51,-1.27,491845718.0
600030,中信证券,26.85,27.65,26.85,27.3,26.77,1.98,7136087373.0
600031,三一重工,19.55,20.39,19.49,20.14,19.5,3.28,2650422134.0
600036,招商银行,39.38,39.63,39.26,39.6,39.38,0.56,2637104794.0
600039,四川路桥,9.1,9.14,8.6,9.02,9.12,-1.1,433494081.0
600050,中国联通,4.5,4.55,4.48,4.53,4.5,0.67,664424135.0
600089,特变电工,26.45,27.2,26.14,26.84,26.52,1.21,3856833993.0
600104,上汽集团,13.69,13.69,13.57,13.6,13.7,-0.73,480732042.0
600111,北方稀土,46.9,47.2,46.28,46.32,46.83,-1.09,2242487298.0
600115,中国东航,4.33,4.35,4.28,4.32,4.36,-0.92,568290200.0
600118,中国卫星,98.0,100.97,96.13,96.99,99.5,-2.52,5290797551.0
600150,中国船舶,38.71,41.97,38.59,41.32,38.41,7.58,10821818262.0
600160,巨化股份,35.88,36.66,35.3,36.22,35.88,0.95,1528915185.0
600176,中国巨石,33.62,35.37,33.46,34.5,33.44,3.17,5091942724.0
600183,生益科技,77.34,78.1,74.09,76.62,76.67,-0.07,4759135839.0
600188,兖矿能源,20.76,21.58,20.63,21.46,20.8,3.17,1125902045.0
600236,桂冠电力,9.53,10.35,9.5,10.16,9.53,6.61,335201789.0
600276,恒瑞医药,55.38,57.35,54.8,54.84,55.38,-0.98,5056516343.0
600302,ST标准,9.48,9.7,9.33,9.56,9.57,-0.1,81016936.0
600309,万华化学,88.5,90.34,88.4,89.48,88.97,0.57,2275476215.0
600346,恒力石化,20.02,21.89,20.02,21.56,21.1,2.18,1900770466.0
600362,江西铜业,44.44,44.6,43.8,44.28,44.79,-1.14,1003220187.0
600378,昊华科技,35.47,35.96,34.55,35.59,35.8,-0.59,540206138.0
