排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
404,高速公路,BK1483,2687.25,-8.99,-0.33,356700992000,0.86,7,12,楚天高速,5.22
405,医疗美容,BK1253,1029.7,-3.45,-0.33,65566463000,0.57,0,4,爱美客,-0.02
406,医美耗材,BK1500,1355.65,-4.69,-0.34,59649862000,0.71,0,3,爱美客,-0.02
407,保险Ⅲ,BK1358,1362.64,-4.9,-0.36,2917366720000,0.32,2,3,中国人寿,0.08
408,保险Ⅱ,BK0474,1362.64,-4.9,-0.36,2917366720000,0.32,2,3,中国人寿,0.08
409,钢铁,BK0479,8045.9,-30.13,-0.37,849321392000,0.91,11,29,金洲管道,2.4
410,工程咨询服务Ⅲ,BK1471,797.12,-2.99,-0.37,217206654000,3.43,17,27,旭杰科技,4.94
411,工程咨询服务Ⅱ,BK0726,797.12,-2.99,-0.37,217206654000,3.43,17,27,旭杰科技,4.94
412,铁路公路,BK0421,8480.12,-31.83,-0.37,772135200000,0.65,10,23,楚天高速,5.22
413,乘用车,BK1262,3544.95,-13.38,-0.38,1333097520000,0.5,2,7,海马汽车,1.82
414,风力发电,BK1374,1996.64,-7.67,-0.38,728320624000,0.96,5,10,立新能源,1.78
415,配电设备,BK1310,3438.99,-13.73,-0.4,210548809000,2.61,10,17,温州宏丰,3.47
416,人工景区,BK1562,2758.45,-11.36,-0.41,32684419000,1.19,2,3,大连圣亚,0.48
417,其他饰品,BK1356,531.75,-2.19,-0.41,4733560000,1.32,0,1,ST瑞贝卡,0.0
418,工程机械整机,BK1393,4259.33,-17.84,-0.42,545505088000,1.38,13,9,厦工股份,5.22
419,公交,BK1484,1535.35,-6.44,-0.42,29619333000,2.11,1,6,海汽集团,0.31
420,钼,BK1623,1519.51,-6.38,-0.42,160504732000,2.32,2,1,金钼股份,1.48
421,风电整机,BK1314,1423.77,-6.21,-0.43,144702754000,1.65,2,3,金风科技,0.64
422,粘胶,BK1416,1494.38,-6.53,-0.44,22635020000,3.62,1,2,新乡化纤,2.41
423,铁路运输,BK1485,1470.74,-6.6,-0.45,385814880000,0.47,2,5,三羊马,1.6
424,燃气Ⅲ,BK1381,1911.47,-8.6,-0.45,264355126000,1.49,13,15,胜通能源,3.99
425,燃气Ⅱ,BK1028,1911.47,-8.6,-0.45,264355126000,1.49,13,15,胜通能源,3.92
426,商用载客车,BK1531,3307.37,-14.99,-0.45,85747343000,1.19,1,4,金龙汽车,1.08
427,酒店,BK1560,2375.17,-10.83,-0.45,45424653000,3.39,3,3,君亭酒店,0.98
428,文化用品,BK1542,2712.88,-12.65,-0.46,38479516000,1.04,2,3,晨光股份,0.35
429,啤酒,BK1577,2344.22,-10.95,-0.46,146773235000,0.61,1,5,*ST西发,0.68
430,其他家居用品,BK1540,6378.79,-30.68,-0.48,181949480000,3.21,7,18,太力科技,8.23
431,耐火材料,BK1467,1972.0,-9.6,-0.48,32935563000,1.26,4,5,北京利尔,1.56
432,大宗用纸,BK1544,1957.54,-9.85,-0.5,93798043000,1.6,4,7,岳阳林纸,1.15
433,玻璃制造,BK1461,1826.42,-9.38,-0.51,51961471000,1.08,3,6,旗滨集团,1.04
434,航空运输,BK1479,1313.12,-6.88,-0.52,431654432000,0.58,1,7,海航控股,0.76
435,综合乘用车,BK1520,2474.9,-13.04,-0.52,378423872000,0.38,1,5,海马汽车,1.82
436,冰洗,BK1449,1847.16,-9.81,-0.53,232000618000,0.52,2,5,澳柯玛,0.47
437,航空机场,BK0420,4061.57,-21.85,-0.54,561204080000,0.59,1,12,海航控股,0.76
438,电视广播Ⅲ,BK1291,1179.32,-6.45,-0.54,122512011000,0.99,3,9,流金科技,0.9
439,电视广播Ⅱ,BK1219,1179.32,-6.45,-0.54,122512011000,0.99,3,9,流金科技,0.75
440,机场,BK1480,1767.97,-9.95,-0.56,129549632000,0.65,0,5,海南机场,-0.35
441,商业地产,BK1345,1253.37,-7.3,-0.58,199781835000,0.67,2,8,阳光股份,1.65
442,非运动服装,BK1352,2077.27,-12.52,-0.6,226245939000,1.1,9,28,酷特智能,6.91
443,白色家电,BK1239,3227.37,-19.5,-0.6,1147993568000,0.67,3,8,澳柯玛,0.47
444,化学工程,BK1476,2469.41,-15.05,-0.61,70081120000,1.29,3,2,利柏特,2.07
445,影视动漫制作,BK1299,3313.27,-20.39,-0.61,123826213000,2.37,5,9,捷成股份,0.82
446,汽车经销商,BK1523,1371.6,-8.53,-0.62,18823011000,1.01,0,3,申华控股,0.0
447,产业地产,BK1344,2323.01,-14.5,-0.62,127009825000,1.11,3,10,张江高科,1.59
448,非白酒,BK1279,1995.31,-12.91,-0.64,208007443000,0.92,4,11,*ST尼雅,0.95
449,电信运营商,BK1587,1023.41,-6.77,-0.66,2841409200000,0.17,0,3,中国移动,-0.37
450,光伏电池组件,BK1315,2259.18,-14.98,-0.66,298559392000,1.8,8,13,横店东磁,2.27
451,板材,BK1367,827.8,-5.5,-0.66,469257376000,0.89,2,13,杭钢股份,1.64
452,钢铁管材,BK1368,587.33,-3.94,-0.67,25038450000,0.98,0,3,新兴铸管,-0.27
453,成品家居,BK1537,2475.41,-16.64,-0.67,103731672000,2.25,6,10,曲美家居,4.49
454,国际工程,BK1475,2450.61,-16.5,-0.67,49483396000,1.41,1,3,中工国际,0.12
455,租赁,BK1365,2910.57,-19.86,-0.68,75201557000,0.89,1,2,海南华铁,0.21
456,文娱用品,BK1266,3206.64,-22.42,-0.69,107546873000,1.59,8,12,珠江钢琴,4.52
457,印刷,BK1534,3649.93,-26.16,-0.71,13369312000,1.22,0,4,强邦新材,-0.39
458,影视院线,BK1222,3234.84,-23.51,-0.72,158806471000,2.22,5,13,捷成股份,0.82
459,空调,BK1450,15283.13,-111.89,-0.73,915992960000,0.81,1,3,海信家电,0.04
460,农商行Ⅲ,BK1612,464.99,-3.45,-0.74,266898397000,1.27,2,8,沪农商行,0.78
461,人力资源服务,BK1568,1843.83,-13.86,-0.75,20928082000,0.49,0,2,科锐国际,0.0
462,其他酒类,BK1578,1515.95,-11.55,-0.76,61234207000,1.25,3,6,*ST尼雅,0.95
463,娱乐用品,BK1543,2541.71,-19.62,-0.77,69067357000,1.84,6,9,珠江钢琴,4.72
464,普钢,BK1226,755.7,-5.92,-0.78,512232752000,0.89,2,19,杭钢股份,1.64
465,管材,BK1466,1871.21,-15.23,-0.81,33925326000,1.1,1,5,青龙管业,0.36
466,酒店餐饮,BK1271,2249.05,-18.96,-0.84,57377234000,3.08,3,7,君亭酒店,0.98
467,白酒Ⅲ,BK1575,4235.68,-36.7,-0.86,2418525136000,0.87,3,16,今世缘,1.42
468,白酒Ⅱ,BK1277,4235.68,-36.7,-0.86,2418525136000,0.87,3,16,今世缘,1.42
469,园林工程,BK1473,3502.65,-31.16,-0.88,45749768000,2.94,6,10,园林股份,3.55
470,大众出版,BK1289,1584.6,-14.26,-0.89,116007946000,0.94,3,15,中国科传,2.83
471,学历教育,BK1558,1905.42,-17.41,-0.91,9617567000,1.1,0,2,凯文教育,-0.88
472,其他家电Ⅲ,BK1456,1175.93,-10.77,-0.91,10280333000,3.02,0,3,融捷健康,-0.26
473,其他家电Ⅱ,BK1243,1175.93,-10.77,-0.91,10280333000,3.02,0,3,融捷健康,-0.26
474,城商行Ⅲ,BK1609,1627.86,-15.88,-0.97,1307994352000,0.73,1,15,苏州银行,0.57
475,光伏主材,BK1318,10325.69,-102.95,-0.99,145647232000,0.88,0,2,通威股份,-0.75
476,银行,BK1283,4259.33,-45.09,-1.05,15610273280000,0.31,4,37,沪农商行,0.78
477,银行Ⅱ,BK0475,4259.33,-45.09,-1.05,15610273280000,0.31,4,37,沪农商行,1.23
478,广告媒体,BK1292,2222.89,-24.48,-1.09,78838979000,0.72,0,3,分众传媒,-0.8
479,卫浴电器,BK1452,1329.95,-14.67,-1.09,14741939000,2.22,0,3,日出东方,-1.1
480,院线,BK1300,569.17,-6.36,-1.11,34980258000,1.47,0,4,儒意电影,-0.36
481,涂料,BK1469,1046.12,-11.83,-1.12,24778741000,1.45,0,2,*ST亚士,-0.61
482,输变电设备,BK1311,3943.91,-44.69,-1.12,521889328000,2.61,12,18,崧盛股份,2.35
483,房屋建设Ⅲ,BK1470,1888.07,-22.25,-1.16,254042684000,0.72,0,7,宁波建工,-0.23
484,房屋建设Ⅱ,BK1246,1888.07,-22.25,-1.16,254042684000,0.72,0,7,宁波建工,-0.47
485,国有大型银行Ⅲ,BK1611,3202.1,-38.66,-1.19,11132189184000,0.16,0,6,建设银行,-0.94
486,出版,BK1218,1788.19,-22.04,-1.22,229025498000,0.91,4,24,中国科传,2.88
487,洗护用品,BK1496,547.94,-7.1,-1.28,18544194000,1.08,0,4,两面针,-0.56
488,公路货运,BK1487,4219.82,-58.16,-1.36,22519956000,1.61,1,3,龙洲股份,1.01
489,血液制品,BK1597,4329.99,-60.04,-1.37,84395945000,0.79,1,5,博晖创新,0.39
490,餐饮,BK1559,1442.53,-20.62,-1.41,11952580000,2.46,0,4,全 聚 德,-0.74
491,股份制银行Ⅲ,BK1610,2381.59,-35.04,-1.45,2903191456000,0.52,1,8,中信银行,0.35
492,纺织鞋类制造,BK1347,396.55,-6.23,-1.55,39339570000,0.14,0,1,华利集团,-1.61
493,长材,BK1369,527.77,-8.61,-1.61,17936922000,0.78,0,3,三钢闽光,-0.97
494,教育出版,BK1290,1991.65,-36.58,-1.8,113017551000,0.89,1,9,世纪天鸿,1.03
495,线下药店,BK1606,3502.92,-71.72,-2.01,80809075000,1.91,2,6,漱玉平民,0.45
496,逆变器,BK1320,14268.62,-309.79,-2.12,422584048000,5.0,2,8,德业股份,0.29
