date,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比
2026-07-19,燃气Ⅱ,-1.77,-86173632.0,-1.37
2026-07-19,冰洗,-3.36,-86932316.0,-5.93
2026-07-19,煤化工,-0.27,-87056624.0,-2.05
2026-07-19,其他塑料制品,-4.5,-87073577.0,-3.27
2026-07-19,休闲食品,-4.01,-88070545.0,-3.13
2026-07-19,油服工程,-0.92,-88156912.0,-1.6
2026-07-19,饰品,-2.7,-88992769.0,-5.54
2026-07-19,旅游零售Ⅲ,-3.43,-90970708.0,-3.8
2026-07-19,旅游零售Ⅱ,-3.43,-90970708.0,-3.8
2026-07-19,饲料,-2.57,-91413556.0,-2.95
2026-07-19,纺织服装设备,-4.84,-92355735.0,-5.4
2026-07-19,畜禽饲料,-2.61,-94104963.0,-7.02
2026-07-19,线下药店,-4.26,-95437754.0,-5.78
2026-07-19,橡胶,-3.0,-95872883.0,-2.72
2026-07-19,油田服务,-1.2,-97893034.0,-4.27
2026-07-19,磷肥及磷化工,-1.51,-99352528.0,-2.2
2026-07-19,纺织制造,-3.57,-100558868.0,-2.75
2026-07-19,工程机械器件,-5.2,-101082402.0,-5.46
2026-07-19,航空运输,-1.03,-101511776.0,-3.72
2026-07-19,钾肥,0.58,-101737600.0,-2.05
2026-07-19,通信工程及服务,-5.1,-103997672.0,-2.27
2026-07-19,培训教育,-3.93,-104196018.0,-7.81
2026-07-19,商用载货车,-2.78,-104775072.0,-3.4
2026-07-19,基建市政工程,-1.87,-105495792.0,-1.94
2026-07-19,清洁小家电,-3.4,-105922117.0,-5.58
2026-07-19,出版,-2.4,-106427431.0,-3.75
2026-07-19,大宗用纸,-2.41,-106590142.0,-9.27
2026-07-19,钛白粉,-2.09,-107073065.0,-9.93
2026-07-19,品牌化妆品,-4.43,-107545592.0,-4.65
2026-07-19,塑料包装,-4.62,-107587332.0,-10.15
2026-07-19,食品及饲料添加剂,-3.57,-108258478.0,-2.7
2026-07-19,软饮料,-3.46,-109457520.0,-5.27
2026-07-19,特种纸,-3.77,-111063104.0,-6.57
