序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2305,600336,澳柯玛,6.3,1.45,0.09,67815.0,42610035.0,2.74,6.36,6.19,6.21,6.21,1.03,0.85,33.54,2.22,5027493045.0,5027493045.0,0.16,0.48,-21.05,-23.36
2306,688816,易思维,51.22,1.45,0.73,4812.0,24607533.0,3.78,51.97,50.06,50.1,50.49,0.97,2.5,-42.43,2.85,5122000000.0,987738875.0,0.02,-0.1,-26.43,-8.06
2307,603722,阿科力,30.13,1.45,0.43,17070.0,51186253.0,3.13,30.53,29.6,29.8,29.7,0.66,1.78,-56.64,3.32,2944307246.0,2883444646.0,-0.07,0.2,-22.7,-23.66
2308,300696,爱乐达,20.28,1.45,0.29,58302.0,118147514.12,3.35,20.52,19.85,19.96,19.99,0.94,2.18,1011.55,3.14,5967369375.0,5416660216.0,-0.1,0.25,-52.88,-36.31
2309,920992,中科美菱,11.9,1.45,0.17,6758.0,7989971.32,2.9,11.94,11.6,11.75,11.73,0.81,1.38,47.56,1.85,1151098115.0,583305668.0,0.0,0.51,-22.63,-31.21
2310,601995,中金公司,35.69,1.45,0.51,247363.0,878058787.0,1.85,35.69,35.04,35.2,35.18,1.26,0.85,12.04,1.68,172284797619.0,104341229684.0,0.08,0.08,2.76,1.97
2311,300962,中金辐照,13.29,1.45,0.19,35887.0,47277237.2,2.98,13.35,12.96,13.1,13.1,1.36,1.36,37.12,3.41,3508585211.0,3508585211.0,-0.15,0.23,-10.69,-17.66
2312,002850,科达利,183.96,1.45,2.63,44940.0,824547143.93,3.25,186.3,180.4,181.38,181.33,0.94,2.14,28.56,3.63,52673667281.0,38569216773.0,0.0,-0.02,-5.36,18.41
2313,300369,绿盟科技,7.73,1.44,0.11,978129.0,759882889.45,7.09,8.06,7.52,7.65,7.62,0.97,12.11,-15.96,2.45,6266107187.0,6243543092.0,-0.26,-0.13,2.66,3.34
2314,300380,安硕信息,30.9,1.44,0.44,35947.0,111233313.48,3.28,31.4,30.4,30.42,30.46,0.97,2.82,119.62,10.73,4277766645.0,3935595279.0,0.0,-0.16,-16.33,-25.13
2315,002422,科伦药业,42.9,1.44,0.61,256238.0,1098869074.11,4.16,43.48,41.72,41.8,42.29,0.72,1.97,37.6,2.86,68244513823.0,55710469429.0,0.14,0.21,28.06,48.55
2316,002044,美年健康,4.93,1.44,0.07,1090678.0,535745851.07,3.7,4.98,4.8,4.81,4.86,0.91,2.82,-18.92,2.46,19297271840.0,19099942201.0,0.2,0.0,-18.78,-6.45
2317,002421,达实智能,3.53,1.44,0.05,6969753.0,2480565406.5,5.75,3.68,3.48,3.56,3.48,3.72,34.79,-115.36,2.76,7485653186.0,7071921467.0,0.0,0.0,19.66,23.86
2318,920371,欧福蛋业,7.05,1.44,0.1,12230.0,8582836.86,2.3,7.08,6.92,6.95,6.95,0.55,0.63,21.29,2.36,1448391029.0,1373407708.0,-0.14,0.0,-22.27,-31.29
2319,600230,沧州大化,14.12,1.44,0.2,185937.0,261484524.0,3.02,14.22,13.8,13.93,13.92,0.91,4.49,25.27,1.44,5845129532.0,5845129532.0,0.0,0.07,-17.48,-7.35
2320,300768,迪普科技,16.92,1.44,0.24,200226.0,338450512.62,6.53,17.29,16.2,16.2,16.68,1.33,4.76,75.22,3.08,10893587340.0,7117686215.0,0.0,-0.06,-4.24,-8.29
2321,920166,海圣医疗,19.9,1.43,0.28,3372.0,6669020.66,3.52,19.95,19.26,19.75,19.62,1.24,1.42,30.95,2.4,1498352948.0,472917669.0,0.1,0.2,-30.66,57.44
2322,300890,翔丰华,26.18,1.43,0.37,45113.0,117590009.54,2.21,26.27,25.7,25.81,25.81,0.98,4.13,33.39,1.46,3130603981.0,2861437322.0,0.04,0.08,-35.36,-11.85
2323,300961,深水海纳,10.63,1.43,0.15,36162.0,38404783.05,2.58,10.72,10.45,10.49,10.48,0.64,2.38,-17.83,3.41,1884486400.0,1614983330.0,-0.19,-0.09,-26.03,-25.72
2324,920892,广咨国际,10.65,1.43,0.15,6682.0,7097172.12,2.38,10.72,10.47,10.5,10.5,1.28,0.44,61.76,5.27,1814241909.0,1606579604.0,-0.28,-0.09,-24.52,-29.52
2325,002442,龙星科技,4.97,1.43,0.07,112788.0,55751972.0,2.65,5.02,4.89,4.92,4.9,1.18,2.29,70.81,1.36,2501767219.0,2442808512.0,0.2,0.2,-17.99,-19.97
